COUNTY,Less Than High School,High School Graduate or more (includes equivalency),Some college or more,Bachelor's degree or more,Master's degree or more,Professional school degree or more,Doctorate degree,% Less Than High School,% High School Graduate or more (includes equivalency),% Some college or more,% Bachelor's degree or more,% Master's degree or more,% Professional school degree or more,% Doctorate degree,Households,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more","% Household Income: Less than $10,000","% Household Income: $10,000 to $14,999","% Household Income: $15,000 to $19,999","% Household Income: $20,000 to $24,999","% Household Income: $25,000 to $29,999","% Household Income: $30,000 to $34,999","% Household Income: $35,000 to $39,999","% Household Income: $40,000 to $44,999","% Household Income: $45,000 to $49,999","% Household Income: $50,000 to $59,999","% Household Income: $60,000 to $74,999","% Household Income: $75,000 to $99,999","% Household Income: $100,000 to $124,999","% Household Income: $125,000 to $149,999","% Household Income: $150,000 to $199,999","% Household Income: $200,000 or more"
Jackson  ,5648,15658,6472,2339,834,219,59,26.51,73.49,30.38,10.98,3.91,1.03,0.28,12651,2073,1036,1024,1030,1016,1009,843,806,603,1179,821,875,162,83,26,65,16.39,8.19,8.09,8.14,8.03,7.98,6.66,6.37,4.77,9.32,6.49,6.92,1.28,0.66,0.21,0.51
Jefferson  ,9507,42312,18237,6137,2158,790,181,18.35,81.65,35.19,11.84,4.16,1.52,0.35,30373,4136,2849,2689,2625,2505,1968,1963,1837,1631,2750,2353,1766,668,231,193,209,13.62,9.38,8.85,8.64,8.25,6.48,6.46,6.05,5.37,9.05,7.75,5.81,2.2,0.76,0.64,0.69
Knox  ,6277,28208,13688,5775,2137,783,293,18.2,81.8,39.69,16.75,6.2,2.27,0.85,19956,1624,1498,1439,1381,1474,1383,1462,1421,1059,2133,2043,1749,611,297,192,190,8.14,7.51,7.21,6.92,7.39,6.93,7.33,7.12,5.31,10.69,10.24,8.76,3.06,1.49,0.96,0.95
Lake  ,21219,134958,81232,33645,10774,2860,860,13.59,86.41,52.01,21.54,6.9,1.83,0.55,89729,4357,4185,4419,5433,5538,5581,5868,5565,5049,9808,11935,11670,5376,2202,1367,1376,4.86,4.66,4.92,6.05,6.17,6.22,6.54,6.2,5.63,10.93,13.3,13.01,5.99,2.45,1.52,1.53
Lawrence  ,10155,31530,13415,4276,1598,430,161,24.36,75.64,32.18,10.26,3.83,1.03,0.39,24773,3748,2774,2273,2056,1813,1752,1685,1548,1173,1979,1689,1373,480,195,92,143,15.13,11.2,9.18,8.3,7.32,7.07,6.8,6.25,4.73,7.99,6.82,5.54,1.94,0.79,0.37,0.58
Licking  ,14577,80432,41783,17504,5515,1688,641,15.34,84.66,43.98,18.42,5.8,1.78,0.67,55588,3907,3194,3291,3685,3547,3847,3333,3597,2855,5680,7044,6410,2709,1046,784,659,7.03,5.75,5.92,6.63,6.38,6.92,6,6.47,5.14,10.22,12.67,11.53,4.87,1.88,1.41,1.19
Logan  ,4900,25062,9524,3440,1360,382,65,16.35,83.65,31.79,11.48,4.54,1.27,0.22,17906,1527,1090,1100,1163,1221,1306,1175,1166,975,1932,2153,1805,746,266,177,104,8.53,6.09,6.14,6.5,6.82,7.29,6.56,6.51,5.45,10.79,12.02,10.08,4.17,1.49,0.99,0.58
Lorain  ,31880,153611,85263,30741,10538,3372,941,17.19,82.81,45.97,16.57,5.68,1.82,0.51,105875,7591,5969,6392,6600,6701,6684,6313,6633,5565,11194,12641,12217,5609,2259,1896,1611,7.17,5.64,6.04,6.23,6.33,6.31,5.96,6.26,5.26,10.57,11.94,11.54,5.3,2.13,1.79,1.52
Lucas  ,49699,241323,147315,61870,21627,8008,2189,17.08,82.92,50.62,21.26,7.43,2.75,0.75,182868,20745,13452,12976,12695,12534,12387,10318,10062,8801,16205,18496,17180,7772,3399,2982,2864,11.34,7.36,7.1,6.94,6.85,6.77,5.64,5.5,4.81,8.86,10.11,9.39,4.25,1.86,1.63,1.57
Madison  ,5582,21033,9936,3473,999,325,103,20.97,79.03,37.33,13.05,3.75,1.22,0.39,13690,990,829,673,751,939,913,965,896,879,1440,1709,1572,565,233,193,143,7.23,6.06,4.92,5.49,6.86,6.67,7.05,6.54,6.42,10.52,12.48,11.48,4.13,1.7,1.41,1.04
Mahoning  ,30703,144100,73937,30557,9882,3128,649,17.56,82.44,42.3,17.48,5.65,1.79,0.37,102629,11621,8745,7989,8194,7394,7044,6111,5913,5180,9075,9802,8297,3701,1316,1067,1180,11.32,8.52,7.78,7.98,7.2,6.86,5.95,5.76,5.05,8.84,9.55,8.08,3.61,1.28,1.04,1.15
Marion  ,8753,35713,15705,4927,1672,548,99,19.68,80.32,35.32,11.08,3.76,1.23,0.22,24626,2132,1699,1610,2025,1883,1816,1544,1699,1585,2495,2647,2130,757,215,153,236,8.66,6.9,6.54,8.22,7.65,7.37,6.27,6.9,6.44,10.13,10.75,8.65,3.07,0.87,0.62,0.96
Medina  ,11087,87918,51920,24509,6875,2117,476,11.2,88.8,52.44,24.76,6.94,2.14,0.48,54538,2094,2100,2112,2697,2781,2837,2994,2990,2880,6201,7958,8706,3976,1910,1182,1120,3.84,3.85,3.87,4.95,5.1,5.2,5.49,5.48,5.28,11.37,14.59,15.96,7.29,3.5,2.17,2.05
Meigs  ,4181,11421,4155,1158,389,74,10,26.8,73.2,26.63,7.42,2.49,0.47,0.06,9236,1584,912,909,891,722,630,616,507,426,693,682,418,119,64,22,41,17.15,9.87,9.84,9.65,7.82,6.82,6.67,5.49,4.61,7.5,7.38,4.53,1.29,0.69,0.24,0.44
Mercer  ,4110,21504,8765,3241,1316,315,85,16.05,83.95,34.22,12.65,5.14,1.23,0.33,14749,971,797,834,1139,1041,907,1016,1048,978,1737,1862,1424,489,244,115,147,6.58,5.4,5.65,7.72,7.06,6.15,6.89,7.11,6.63,11.78,12.62,9.65,3.32,1.65,0.78,1
Miami  ,11397,54368,28185,10715,3541,865,175,17.33,82.67,42.86,16.29,5.38,1.32,0.27,38525,2337,2243,2357,2505,2573,2756,2396,2485,2315,4012,4715,4171,1732,717,589,622,6.07,5.82,6.12,6.5,6.68,7.15,6.22,6.45,6.01,10.41,12.24,10.83,4.5,1.86,1.53,1.61
Monroe  ,2236,8308,3031,886,268,84,19,21.21,78.79,28.75,8.4,2.54,0.8,0.18,6030,830,586,471,543,537,447,441,389,311,546,541,252,65,20,10,41,13.76,9.72,7.81,9,8.91,7.41,7.31,6.45,5.16,9.05,8.97,4.18,1.08,0.33,0.17,0.68
Montgomery  ,60595,306504,194819,83818,31133,9044,2895,16.51,83.49,53.07,22.83,8.48,2.46,0.79,229177,22593,13594,15641,16129,15735,15967,14433,13415,11158,21495,23817,22793,10490,4878,3392,3647,9.86,5.93,6.82,7.04,6.87,6.97,6.3,5.85,4.87,9.38,10.39,9.95,4.58,2.13,1.48,1.59
Morgan  ,1927,8007,2991,903,392,85,20,19.4,80.6,30.11,9.09,3.95,0.86,0.2,5869,870,541,681,482,437,436,444,262,320,551,475,224,92,26,13,15,14.82,9.22,11.6,8.21,7.45,7.43,7.57,4.46,5.45,9.39,8.09,3.82,1.57,0.44,0.22,0.26
Morrow  ,4409,16182,6452,1946,610,261,20,21.41,78.59,31.33,9.45,2.96,1.27,0.1,11536,833,612,653,901,847,904,838,828,668,1247,1585,976,327,124,95,98,7.22,5.31,5.66,7.81,7.34,7.84,7.26,7.18,5.79,10.81,13.74,8.46,2.83,1.07,0.82,0.85
Muskingum  ,10620,43996,19849,6899,2522,792,192,19.44,80.56,36.34,12.63,4.62,1.45,0.35,32447,3389,2697,2560,2537,2550,2407,2098,2012,1960,2971,3272,2369,639,292,285,409,10.44,8.31,7.89,7.82,7.86,7.42,6.47,6.2,6.04,9.16,10.08,7.3,1.97,0.9,0.88,1.26
Noble  ,1974,7236,2830,743,206,55,0,21.43,78.57,30.73,8.07,2.24,0.6,0,4536,541,375,391,412,311,355,376,344,265,354,444,242,53,23,12,38,11.93,8.27,8.62,9.08,6.86,7.83,8.29,7.58,5.84,7.8,9.79,5.34,1.17,0.51,0.26,0.84
Ottawa  ,4569,24260,12605,4618,1575,544,59,15.85,84.15,43.72,16.02,5.46,1.89,0.2,16461,959,920,913,1211,1109,1182,984,1107,897,1618,2033,2035,816,325,219,133,5.83,5.59,5.55,7.36,6.74,7.18,5.98,6.72,5.45,9.83,12.35,12.36,4.96,1.97,1.33,0.81
Paulding  ,2411,10697,3810,1021,428,133,39,18.39,81.61,29.07,7.79,3.27,1.01,0.3,7815,569,442,481,590,600,642,540,637,496,824,933,668,201,65,59,68,7.28,5.66,6.15,7.55,7.68,8.21,6.91,8.15,6.35,10.54,11.94,8.55,2.57,0.83,0.75,0.87
Perry  ,4565,17061,6006,1492,513,155,24,21.11,78.89,27.77,6.9,2.37,0.72,0.11,12519,1420,877,947,967,1173,987,763,906,795,1222,1144,922,152,90,52,102,11.34,7.01,7.56,7.72,9.37,7.88,6.09,7.24,6.35,9.76,9.14,7.36,1.21,0.72,0.42,0.81
Pickaway  ,8033,27225,12152,4028,1334,371,121,22.78,77.22,34.47,11.42,3.78,1.05,0.34,17555,1379,1160,975,1157,1141,1181,1126,1080,1041,1996,1992,1993,782,251,192,109,7.86,6.61,5.55,6.59,6.5,6.73,6.41,6.15,5.93,11.37,11.35,11.35,4.45,1.43,1.09,0.62
Pike  ,5291,12419,5061,1719,603,154,0,29.88,70.12,28.58,9.71,3.4,0.87,0,10436,1624,932,762,897,726,756,758,567,483,868,850,711,289,58,45,110,15.56,8.93,7.3,8.6,6.96,7.24,7.26,5.43,4.63,8.32,8.14,6.81,2.77,0.56,0.43,1.05
Portage  ,13244,80829,43271,19779,6647,2189,1109,14.08,85.92,46,21.03,7.07,2.33,1.18,56415,4387,3197,3010,3757,3475,3903,3433,3413,3258,5714,6981,6350,2676,1246,792,823,7.78,5.67,5.34,6.66,6.16,6.92,6.09,6.05,5.78,10.13,12.37,11.26,4.74,2.21,1.4,1.46
Preble  ,5152,22927,9047,2835,988,234,43,18.35,81.65,32.22,10.1,3.52,0.83,0.15,15946,995,952,817,1112,1290,1119,1205,1043,969,1872,2128,1541,593,123,112,75,6.24,5.97,5.12,6.97,8.09,7.02,7.56,6.54,6.08,11.74,13.35,9.66,3.72,0.77,0.7,0.47
Putnam  ,2989,18535,8269,2780,846,235,31,13.89,86.11,38.42,12.92,3.93,1.09,0.14,12191,646,693,756,713,788,803,705,748,754,1508,1727,1474,471,161,150,94,5.3,5.68,6.2,5.85,6.46,6.59,5.78,6.14,6.18,12.37,14.17,12.09,3.86,1.32,1.23,0.77
Richland  ,17107,69077,32076,10865,3383,1103,278,19.85,80.15,37.22,12.61,3.93,1.28,0.32,49558,4466,3836,3684,3832,3664,3603,3222,3187,2660,4939,4722,4329,1698,707,542,467,9.01,7.74,7.43,7.73,7.39,7.27,6.5,6.43,5.37,9.97,9.53,8.74,3.43,1.43,1.09,0.94
Ross  ,11796,37647,16765,5600,1958,585,167,23.86,76.14,33.91,11.33,3.96,1.18,0.34,27148,2861,2120,1973,1981,1960,1922,1688,1974,1476,2468,2715,2447,732,363,247,221,10.54,7.81,7.27,7.3,7.22,7.08,6.22,7.27,5.44,9.09,10,9.01,2.7,1.34,0.91,0.81
Sandusky  ,7252,33313,15569,4823,1678,493,70,17.88,82.12,38.38,11.89,4.14,1.22,0.17,23682,1533,1580,1490,1550,1750,1894,1838,1501,1353,2615,2733,2269,767,333,191,285,6.47,6.67,6.29,6.55,7.39,8,7.76,6.34,5.71,11.04,11.54,9.58,3.24,1.41,0.81,1.2
Scioto  ,13523,38713,17880,5279,1933,516,138,25.89,74.11,34.23,10.11,3.7,0.99,0.26,30834,5201,3132,2848,2721,2433,2206,1812,1619,1378,2310,2151,1732,567,273,159,292,16.87,10.16,9.24,8.82,7.89,7.15,5.88,5.25,4.47,7.49,6.98,5.62,1.84,0.89,0.52,0.95
Seneca  ,6306,30965,13709,4651,1588,586,156,16.92,83.08,36.78,12.48,4.26,1.57,0.42,22352,1650,1633,1647,1701,1844,1777,1567,1558,1356,2384,2501,1820,454,196,160,104,7.38,7.31,7.37,7.61,8.25,7.95,7.01,6.97,6.07,10.67,11.19,8.14,2.03,0.88,0.72,0.47
Shelby  ,5608,24672,10960,3867,1196,305,34,18.52,81.48,36.2,12.77,3.95,1.01,0.11,17696,1042,835,1135,972,1230,1214,1246,1284,1143,1903,2242,2029,715,317,207,182,5.89,4.72,6.41,5.49,6.95,6.86,7.04,7.26,6.46,10.75,12.67,11.47,4.04,1.79,1.17,1.03
Stark  ,41912,211059,106726,45397,15362,5277,1133,16.57,83.43,42.19,17.95,6.07,2.09,0.45,148323,12250,10105,10098,10646,10520,10789,10060,9458,8275,14274,15788,13287,5946,2396,2050,2381,8.26,6.81,6.81,7.18,7.09,7.27,6.78,6.38,5.58,9.62,10.64,8.96,4.01,1.62,1.38,1.61
Summit  ,51876,310769,189064,91096,30421,10191,3383,14.3,85.7,52.13,25.12,8.39,2.81,0.93,217865,19044,13736,13558,14407,14025,14723,12994,12012,11199,20928,23688,22854,10697,4939,4391,4670,8.74,6.3,6.22,6.61,6.44,6.76,5.96,5.51,5.14,9.61,10.87,10.49,4.91,2.27,2.02,2.14
Trumbull  ,26794,126250,58432,22132,6803,2079,433,17.51,82.49,38.18,14.46,4.45,1.36,0.28,88981,8199,6104,6659,6534,6457,6175,6237,5414,4532,8596,9292,8279,3386,1332,896,889,9.21,6.86,7.48,7.34,7.26,6.94,7.01,6.08,5.09,9.66,10.44,9.3,3.81,1.5,1.01,1
Tuscarawas  ,11932,48721,19496,7397,2483,807,138,19.67,80.33,32.14,12.2,4.09,1.33,0.23,35637,3162,2509,2846,3181,2815,3006,2780,2232,2058,3560,3363,2368,863,358,276,260,8.87,7.04,7.99,8.93,7.9,8.44,7.8,6.26,5.77,9.99,9.44,6.64,2.42,1,0.77,0.73
Union  ,3705,22829,11175,4226,1095,328,125,13.96,86.04,42.12,15.93,4.13,1.24,0.47,14342,712,607,710,741,823,652,803,899,819,1729,2110,2181,871,381,220,84,4.96,4.23,4.95,5.17,5.74,4.55,5.6,6.27,5.71,12.06,14.71,15.21,6.07,2.66,1.53,0.59
Van Wert  ,2601,16852,6799,2326,783,155,25,13.37,86.63,34.95,11.96,4.03,0.8,0.13,11569,696,700,675,911,989,1053,852,827,768,1307,1281,991,262,84,78,95,6.02,6.05,5.83,7.87,8.55,9.1,7.36,7.15,6.64,11.3,11.07,8.57,2.26,0.73,0.67,0.82
Vinton  ,2409,5814,1903,496,177,55,8,29.3,70.7,23.14,6.03,2.15,0.67,0.1,4906,813,474,311,508,393,439,314,249,229,498,305,226,53,52,27,15,16.57,9.66,6.34,10.35,8.01,8.95,6.4,5.08,4.67,10.15,6.22,4.61,1.08,1.06,0.55,0.31
Warren  ,14277,89029,56787,29301,9378,2194,761,13.82,86.18,54.97,28.36,9.08,2.12,0.74,56020,2180,1995,2207,2303,2665,3028,2828,3081,2900,5861,7457,8713,4905,2371,1976,1550,3.89,3.56,3.94,4.11,4.76,5.41,5.05,5.5,5.18,10.46,13.31,15.55,8.76,4.23,3.53,2.77
Washington  ,6635,36135,17730,6433,2418,785,234,15.51,84.49,41.45,15.04,5.65,1.84,0.55,25162,2502,2011,2173,2149,2043,1946,1572,1385,1363,2273,2384,1891,732,249,215,274,9.94,7.99,8.64,8.54,8.12,7.73,6.25,5.5,5.42,9.03,9.47,7.52,2.91,0.99,0.85,1.09
Wayne  ,13959,55994,26608,12013,3909,1313,531,19.95,80.05,38.04,17.17,5.59,1.88,0.76,40486,2572,2542,2431,2988,3054,3167,2632,2643,2635,4653,4457,3756,1582,551,387,436,6.35,6.28,6,7.38,7.54,7.82,6.5,6.53,6.51,11.49,11.01,9.28,3.91,1.36,0.96,1.08
Williams  ,4353,21337,8838,2751,903,258,47,16.94,83.06,34.4,10.71,3.51,1,0.18,15065,982,878,965,1195,1139,1122,1078,1010,1089,1788,1761,1356,354,116,118,114,6.52,5.83,6.41,7.93,7.56,7.45,7.16,6.7,7.23,11.87,11.69,9,2.35,0.77,0.78,0.76
Wood  ,8150,63401,38514,18735,7388,2481,1120,11.39,88.61,53.83,26.18,10.33,3.47,1.57,45192,3535,2640,2521,3056,2911,3026,2400,2773,2328,4532,5204,5258,2479,1072,661,796,7.82,5.84,5.58,6.76,6.44,6.7,5.31,6.14,5.15,10.03,11.52,11.63,5.49,2.37,1.46,1.76
Wyandot  ,2646,12451,5065,1487,427,168,38,17.53,82.47,33.55,9.85,2.83,1.11,0.25,8883,588,521,593,693,740,810,627,684,587,1040,1011,669,166,64,44,46,6.62,5.87,6.68,7.8,8.33,9.12,7.06,7.7,6.61,11.71,11.38,7.53,1.87,0.72,0.5,0.52