FIPS,Name of County,1980 Catholic,1980 Evangelical Protestant,1980 Jewish,1980 Mainline Protestant,1980 Orthodox,1980 Other
39001,Adams County,11.87,39.67,,48.46,,0
39003,Allen County,39.6,15.35,0.42,44.63,,0.74
39005,Ashland County,10.09,25.51,,64.4,,0.86
39007,Ashtabula County,46.11,14.44,0.05,39.4,,0.64
39009,Athens County,22.79,29.51,,47.7,,1.25
39011,Auglaize County,39.53,9.54,,50.93,,0
39013,Belmont County,33.53,14.91,,51.56,,0
39015,Brown County,29.14,41.03,,29.84,,3.31
39017,Butler County,30.61,38.91,0.14,30.35,,0.88
39019,Carroll County,19.81,16.18,,64.02,,0
39021,Champaign County,15.54,18.64,,65.82,,0
39023,Clark County,22.41,26.84,0.43,50.33,,0.65
39025,Clermont County,33.6,39.22,,27.18,,0
39027,Clinton County,15.69,36.74,,47.57,,1
39029,Columbiana County,27.58,20.34,0.18,51.9,,0.94
39031,Coshocton County,14.59,18.93,,66.49,,0
39033,Crawford County,22.34,14.88,,62.78,,0
39035,Cuyahoga County,66.51,7.91,1.97,23.59,0.02,0.4
39037,Darke County,25.79,24.83,,49.38,,0.36
39039,Defiance County,33.46,29.66,,36.88,,0
39041,Delaware County,19.76,12.85,,67.39,,1.68
39043,Erie County,51.08,10.9,0.27,37.74,,0.06
39045,Fairfield County,26.2,17.07,,56.73,,1.46
39047,Fayette County,11.02,29.35,,59.63,,0
39049,Franklin County,40.94,16.75,0.11,42.2,,0.96
39051,Fulton County,34.91,25.87,,39.22,,1.23
39053,Gallia County,6.22,34.29,,59.49,,2.73
39055,Geauga County,47.97,29.77,,22.25,,0
39057,Greene County,17.12,39.8,,43.08,,2.44
39059,Guernsey County,19.84,23.33,,56.83,,0
39061,Hamilton County,60.57,13.3,1.67,24.46,,0.59
39063,Hancock County,22.17,19.03,,58.8,,1.09
39065,Hardin County,9.59,24.05,,66.36,,0
39067,Harrison County,8.37,18.31,,73.32,,0
39069,Henry County,20.87,28.15,,50.98,,0
39071,Highland County,7.34,33.71,,58.95,,0
39073,Hocking County,14.17,23.24,,62.59,,0
39075,Holmes County,3.62,74.3,,22.08,,0
39077,Huron County,50.89,10.49,,38.61,,0.08
39079,Jackson County,9.15,15.44,,75.41,,0
39081,Jefferson County,45.21,14.62,0.68,39.49,,0.28
39083,Knox County,16.41,30.36,,53.23,,0
39085,Lake County,72.49,10.1,0.16,17.25,,0.54
39087,Lawrence County,19.35,36.79,,43.86,,0
39089,Licking County,20.92,21.34,0.16,57.58,,0.94
39091,Logan County,15.15,27.47,,57.38,,0.98
39093,Lorain County,64.73,13.97,0.24,21.05,,0.32
39095,Lucas County,55.23,11.22,1.05,32.5,,0.6
39097,Madison County,16.36,17.29,,66.34,,0
39099,Mahoning County,64,9.77,1.27,24.96,,0.09
39101,Marion County,19.44,12.48,0.34,67.75,,0.81
39103,Medina County,55.61,10.72,,33.68,,0.47
39105,Meigs County,3.36,39.44,,57.2,,0
39107,Mercer County,66.84,6.24,,26.92,,0
39109,Miami County,21.72,21.73,0.16,56.39,,0.98
39111,Monroe County,2.54,52.1,,45.36,,0
39113,Montgomery County,33.25,27.39,1.07,38.29,,0.79
39115,Morgan County,14.94,31.01,,54.04,,0
39117,Morrow County,4.03,24.01,,71.96,,0
39119,Muskingum County,24.5,15.48,0.14,59.89,,1.36
39121,Noble County,25.32,37.9,,36.79,,0
39123,Ottawa County,33.21,6.88,,59.91,,0
39125,Paulding County,32.57,22.76,,44.67,,0
39127,Perry County,32.83,10.72,,56.44,,0
39129,Pickaway County,10.39,21.31,,68.29,,0
39131,Pike County,10.41,46.49,,43.1,,0
39133,Portage County,45.92,17.12,,36.96,,1.02
39135,Preble County,9.43,40.32,,50.25,,0.49
39137,Putnam County,76.72,2.6,,20.68,,0
39139,Richland County,27.84,16.86,0.21,55.09,,1.08
39141,Ross County,17.72,19.28,,62.99,,1.29
39143,Sandusky County,40.45,9.28,0.05,50.22,,0
39145,Scioto County,17.08,33.45,0.44,49.04,,1.1
39147,Seneca County,56.9,5.28,,37.82,,0.26
39149,Shelby County,47.07,9.13,,43.81,,0
39151,Stark County,37.55,18.67,0.8,42.99,,0.48
39153,Summit County,54.9,15.98,0.85,28.27,,0.59
39155,Trumbull County,52.74,12.58,0.07,34.6,,0.69
39157,Tuscarawas County,18.97,20.93,,60.1,,0.32
39159,Union County,8.83,24.16,,67.01,,0
39161,Van Wert County,16.29,18.21,,65.5,,0
39163,Vinton County,7.08,22.43,,70.49,,0
39165,Warren County,12.26,47.07,,40.67,,0
39167,Washington County,19,21.62,,59.37,,0.87
39169,Wayne County,16.92,30.86,0.13,52.1,,0.43
39171,Williams County,23.91,26.03,,50.05,,0.79
39173,Wood County,38.23,8.54,,53.23,,0.4
39175,Wyandot County,32.53,7.16,,60.31,,0